jeu_vidéo,jeu_vidéoLabel,image
http://www.wikidata.org/entity/Q933328,La Bande à Picsou,http://commons.wikimedia.org/wiki/Special:FilePath/Ducktales%20cartridge.jpg
http://www.wikidata.org/entity/Q941354,Sunset Riders 2 & Sunset Fingers 2 for SNES,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20M%C3%A9canique%20189.JPG
http://www.wikidata.org/entity/Q956303,Ghosts 'n Goblins,http://commons.wikimedia.org/wiki/Special:FilePath/Ni%C3%B1o%20jugando%20al%20ghosts%27n%20goblins.JPG
http://www.wikidata.org/entity/Q962129,Duke Nukem Forever,http://commons.wikimedia.org/wiki/Special:FilePath/Girls%20of%20E3%202011%20No.15.jpg
http://www.wikidata.org/entity/Q968020,Millipede,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20M%C3%A9canique%20218.JPG
http://www.wikidata.org/entity/Q971909,SuperTuxKart,http://commons.wikimedia.org/wiki/Special:FilePath/STK%20track%208.png
http://www.wikidata.org/entity/Q977919,E.T. the Extra-Terrestrial,http://commons.wikimedia.org/wiki/Special:FilePath/Atari%20E.T.%20the%20Extra-Terrestrial%20Cartridge.png
http://www.wikidata.org/entity/Q1014621,Fish Fillets NG,http://commons.wikimedia.org/wiki/Special:FilePath/Fillets-ng-cellar.png
http://www.wikidata.org/entity/Q1014915,Burgertime,http://commons.wikimedia.org/wiki/Special:FilePath/BurgerTime%20Arcade%20Video%20Game.jpg
http://www.wikidata.org/entity/Q1017582,Crack Attack!,http://commons.wikimedia.org/wiki/Special:FilePath/Crack%20Attack%21%20ingame.png
